"campaign_id","date","channel","campaign_type","device_type","os","country","impressions","clicks","conversions","spend_usd","revenue_usd"
"TABOOLA_CAMP_037","2025-06-16","Taboola","acquisition","Mobile","iOS","UK","2281","78","17","3092.25","1855.35"
"GOOGLE_CAMP_018","2025-07-04","Google","acquisition","Mobile","Android","Brazil","5394","52","2","479.85","527.84"
"GOOGLE_CAMP_050","2025-06-23","Google","acquisition","Mobile","Android","India","17173","828","67","342.37","376.61"
"GOOGLE_CAMP_030","2025-07-01","Google","acquisition","Mobile","Android","UK","7553","168","13","12483.66","13732.03"
"MOLOCO_CAMP_049","2025-06-12","Moloco","retargeting","Mobile","Android","India","1000","26","7","1434.59","1291.13"
"GOOGLE_CAMP_035","2025-06-17","Google","acquisition","Mobile","Android","UK","2222","15","1","6500.75","7150.83"
"GOOGLE_CAMP_017","2025-06-20","Google","acquisition","Desktop","Desktop","USA","2455","115","34","3768.27","4145.1"
"TIKTOK_CAMP_003","2025-07-12","TikTok","acquisition","Mobile","iOS","USA","1686","74","5","5584.66","7483.44"
"GOOGLE_CAMP_050","2025-07-12","Google","acquisition","Mobile","Android","Japan","1000","47","2","4450.48","4895.53"
"GOOGLE_CAMP_008","2025-06-24","Google","acquisition","Mobile","Android","USA","10265","379","52","1484.53","1632.98"
"GOOGLE_CAMP_010","2025-06-23","Google","acquisition","Desktop","Desktop","India","4048","75","4","1850.46","2035.51"
"GOOGLE_CAMP_008","2025-06-15","Google","acquisition","Mobile","Android","Germany","3431","32","4","5235.11","5758.62"
"GOOGLE_CAMP_046","2025-06-18","Google","acquisition","Mobile","Android","Canada","17860","808","155","556.03","611.63"
"GOOGLE_CAMP_032","2025-07-09","Google","acquisition","Mobile","Android","Japan","2169","71","4","3200.27","3520.3"
"META_CAMP_036","2025-06-30","Meta","acquisition","Mobile","iOS","Germany","3910","38","2","5581.36","5302.29"
"GOOGLE_CAMP_023","2025-07-08","Google","acquisition","Mobile","Android","UK","4131","133","14","6239.81","6863.79"
"META_CAMP_035","2025-07-06","Meta","acquisition","Mobile","Android","India","20000","916","130","3980.23","3781.22"
"META_CAMP_014","2025-07-10","Meta","acquisition","Mobile","Android","India","4789","93","24","15000.0","14250.0"
"GOOGLE_CAMP_013","2025-06-20","Google","acquisition","Desktop","Desktop","UK","1394","21","4","2077.66","2285.43"
"TABOOLA_CAMP_031","2025-06-27","Taboola","acquisition","Desktop","Desktop","UK","20000","580","99","667.47","400.48"
"GOOGLE_CAMP_024","2025-06-17","Google","acquisition","Desktop","Desktop","India","1000","17","4","734.17","807.59"
"GOOGLE_CAMP_046","2025-07-08","Google","acquisition","Mobile","iOS","Brazil","13949","495","34","2495.25","2744.78"
"META_CAMP_037","2025-07-02","Meta","acquisition","Mobile","Android","Brazil","3689","126","20","2075.06","1971.31"
"GOOGLE_CAMP_028","2025-07-05","Google","acquisition","Mobile","iOS","Brazil","16844","171","21","830.76","913.84"
"GOOGLE_CAMP_026","2025-07-11","Google","acquisition","Mobile","Android","Canada","4172","148","27","1739.15","1913.07"
"TABOOLA_CAMP_015","2025-07-06","Taboola","acquisition","Mobile","iOS","Canada","10178","119","18","199.08","119.45"
"GOOGLE_CAMP_030","2025-06-27","Google","acquisition","Desktop","Desktop","UK","4135","39","2","113.33","124.66"
"GOOGLE_CAMP_023","2025-06-16","Google","acquisition","Mobile","Android","Germany","5285","56","9","1475.46","1623.01"
"GOOGLE_CAMP_036","2025-06-16","Google","acquisition","Mobile","iOS","India","5807","260","8","1185.53","1304.08"
"GOOGLE_CAMP_033","2025-06-30","Google","acquisition","Mobile","Android","Canada","5140","166","25","3707.41","4078.15"
"META_CAMP_003","2025-06-27","Meta","acquisition","Mobile","Android","Canada","8306","362","101","1137.52","1080.64"
"META_CAMP_050","2025-06-22","Meta","acquisition","Mobile","Android","UK","8726","135","9","13134.57","12477.84"
"AFFILIATE_CAMP_004","2025-06-29","Affiliate","acquisition","Mobile","Android","USA","1000","46","9","2132.26","1385.97"
"AFFILIATE_CAMP_048","2025-07-08","Affiliate","acquisition","Mobile","Android","Brazil","3327","73","7","127.45","82.84"
"META_CAMP_020","2025-06-20","Meta","acquisition","Mobile","iOS","Canada","4400","127","7","2374.83","2256.09"
"TIKTOK_CAMP_033","2025-06-26","TikTok","acquisition","Mobile","iOS","Brazil","7275","107","11","15000.0","20100.0"
"GOOGLE_CAMP_022","2025-06-23","Google","acquisition","Mobile","iOS","Canada","18285","423","97","3862.75","4249.03"
"GOOGLE_CAMP_007","2025-07-09","Google","acquisition","Desktop","Desktop","UK","4955","72","15","407.38","448.12"
"GOOGLE_CAMP_001","2025-07-09","Google","acquisition","Mobile","iOS","UK","4388","95","20","1494.28","1643.71"
"AFFILIATE_CAMP_016","2025-07-09","Affiliate","acquisition","Mobile","iOS","India","20000","144","32","948.82","616.73"
"GOOGLE_CAMP_035","2025-06-19","Google","acquisition","Mobile","Android","Brazil","3371","123","28","3712.41","4083.65"
"TABOOLA_CAMP_030","2025-06-21","Taboola","acquisition","Mobile","iOS","Germany","1000","32","1","970.28","582.17"
"GOOGLE_CAMP_013","2025-06-13","Google","acquisition","Mobile","Android","India","5313","149","28","1460.9","1606.99"
"AFFILIATE_CAMP_036","2025-07-03","Affiliate","acquisition","Mobile","Android","USA","9571","188","51","242.95","157.92"
"GOOGLE_CAMP_032","2025-06-20","Google","acquisition","Mobile","Android","Japan","20000","898","264","6938.74","7632.61"
"META_CAMP_011","2025-06-15","Meta","acquisition","Desktop","Desktop","India","18188","246","6","3831.3","3639.74"
"GOOGLE_CAMP_019","2025-06-15","Google","acquisition","Mobile","iOS","Germany","9075","449","81","107.65","118.42"
"GOOGLE_CAMP_033","2025-07-03","Google","acquisition","Mobile","Android","Brazil","1000","27","2","2164.39","2380.83"
"META_CAMP_015","2025-06-22","Meta","acquisition","Desktop","Desktop","India","6906","205","58","4565.05","4336.8"
"GOOGLE_CAMP_043","2025-06-15","Google","acquisition","Mobile","iOS","Japan","1054","31","2","1072.97","1180.27"
"GOOGLE_CAMP_041","2025-06-18","Google","acquisition","Desktop","Desktop","Germany","1000","35","10","491.28","540.41"
"TIKTOK_CAMP_017","2025-07-06","TikTok","acquisition","Mobile","iOS","Japan","20000","459","106","3599.08","4822.77"
"META_CAMP_034","2025-06-27","Meta","acquisition","Mobile","Android","India","12123","124","4","2014.7","1913.96"
"GOOGLE_CAMP_009","2025-07-04","Google","acquisition","Mobile","iOS","USA","2330","101","24","6412.24","7053.46"
"GOOGLE_CAMP_016","2025-06-12","Google","acquisition","Mobile","Android","India","8653","348","84","472.9","520.19"
"MOLOCO_CAMP_030","2025-07-06","Moloco","retargeting","Mobile","iOS","India","1000","13","3","2697.91","2428.12"
"TABOOLA_CAMP_032","2025-06-30","Taboola","acquisition","Mobile","Android","Germany","3516","165","42","554.11","332.47"
"AFFILIATE_CAMP_026","2025-07-08","Affiliate","acquisition","Mobile","Android","India","5535","242","32","6984.78","4540.11"
"META_CAMP_043","2025-06-23","Meta","acquisition","Mobile","Android","UK","8289","70","12","1814.74","1724.0"
"GOOGLE_CAMP_031","2025-07-12","Google","acquisition","Mobile","iOS","Japan","3813","169","46","5779.65","6357.62"
"META_CAMP_008","2025-06-13","Meta","acquisition","Desktop","Desktop","Brazil","5203","131","33","1534.2","1457.49"
"TIKTOK_CAMP_018","2025-06-29","TikTok","acquisition","Mobile","Android","India","13584","569","112","2696.42","3613.2"
"MOLOCO_CAMP_006","2025-07-11","Moloco","retargeting","Mobile","iOS","Germany","2642","16","1","4516.45","4064.8"
"AFFILIATE_CAMP_005","2025-06-26","Affiliate","acquisition","Desktop","Desktop","Germany","1000","32","7","292.96","190.42"
"GOOGLE_CAMP_004","2025-07-08","Google","acquisition","Mobile","Android","Canada","3345","45","2","1247.85","1372.64"
"GOOGLE_CAMP_016","2025-07-04","Google","acquisition","Mobile","iOS","Germany","3515","84","3","941.87","1036.06"
"META_CAMP_027","2025-06-26","Meta","acquisition","Mobile","Android","USA","2154","103","23","15000.0","14250.0"
"TIKTOK_CAMP_009","2025-06-17","TikTok","acquisition","Mobile","Android","Canada","6366","77","2","2108.55","2825.46"
"AFFILIATE_CAMP_002","2025-07-03","Affiliate","acquisition","Mobile","iOS","Brazil","6106","76","16","962.67","625.74"
"AFFILIATE_CAMP_040","2025-06-18","Affiliate","acquisition","Mobile","Android","India","20000","743","199","534.96","347.72"
"GOOGLE_CAMP_041","2025-07-02","Google","acquisition","Mobile","iOS","Brazil","7032","307","16","852.51","937.76"
"AFFILIATE_CAMP_012","2025-07-12","Affiliate","acquisition","Mobile","iOS","UK","1000","6","1","8153.51","5299.78"
"META_CAMP_015","2025-07-12","Meta","acquisition","Mobile","iOS","USA","4224","178","28","12964.38","12316.16"
"MOLOCO_CAMP_032","2025-06-21","Moloco","retargeting","Desktop","Desktop","USA","4684","226","35","4984.65","4486.18"
"TABOOLA_CAMP_030","2025-06-16","Taboola","acquisition","Mobile","Android","Brazil","5508","61","10","1307.81","784.69"
"GOOGLE_CAMP_036","2025-07-07","Google","acquisition","Mobile","iOS","Japan","8479","159","21","2989.58","3288.54"
"TIKTOK_CAMP_042","2025-07-12","TikTok","acquisition","Mobile","Android","Brazil","1000","34","0","7869.76","10545.48"
"GOOGLE_CAMP_042","2025-06-21","Google","acquisition","Desktop","Desktop","UK","2211","72","10","1579.67","1737.64"
"GOOGLE_CAMP_024","2025-07-09","Google","acquisition","Mobile","Android","UK","16118","250","70","216.55","238.21"
"AFFILIATE_CAMP_048","2025-06-12","Affiliate","acquisition","Mobile","Android","Japan","5442","63","7","1332.68","866.24"
"META_CAMP_024","2025-07-08","Meta","acquisition","Desktop","Desktop","Germany","18376","496","34","2393.0","2273.35"
"AFFILIATE_CAMP_005","2025-06-27","Affiliate","acquisition","Desktop","Desktop","Canada","1215","11","0","2820.64","1833.42"
"MOLOCO_CAMP_023","2025-06-28","Moloco","retargeting","Desktop","Desktop","UK","2571","111","13","378.44","340.6"
"META_CAMP_040","2025-07-08","Meta","acquisition","Desktop","Desktop","USA","3386","145","37","4634.01","4402.31"
"GOOGLE_CAMP_034","2025-07-05","Google","acquisition","Mobile","Android","Japan","1000","35","0","1258.95","1384.85"
"GOOGLE_CAMP_011","2025-06-29","Google","acquisition","Mobile","Android","UK","20000","187","44","1223.13","1345.44"
"META_CAMP_039","2025-06-28","Meta","acquisition","Mobile","Android","Germany","20000","641","46","15000.0","14250.0"
"GOOGLE_CAMP_031","2025-07-02","Google","acquisition","Mobile","iOS","Japan","15827","460","33","2032.32","2235.55"
"GOOGLE_CAMP_036","2025-07-08","Google","acquisition","Mobile","Android","Japan","9494","352","62","2387.56","2626.32"
"GOOGLE_CAMP_016","2025-06-16","Google","acquisition","Mobile","iOS","USA","3059","72","20","2287.79","2516.57"
"GOOGLE_CAMP_046","2025-06-23","Google","acquisition","Mobile","Android","Brazil","1000","19","1","8860.63","9746.69"
"GOOGLE_CAMP_032","2025-06-13","Google","acquisition","Desktop","Desktop","Canada","20000","976","120","181.29","199.42"
"META_CAMP_031","2025-06-17","Meta","acquisition","Mobile","Android","Canada","2496","83","18","3727.49","3541.12"
"GOOGLE_CAMP_047","2025-06-25","Google","acquisition","Desktop","Desktop","India","11330","231","8","10668.07","11734.88"
"META_CAMP_029","2025-07-04","Meta","acquisition","Mobile","Android","Canada","1488","20","4","2471.22","2347.66"
"GOOGLE_CAMP_042","2025-06-15","Google","acquisition","Mobile","iOS","Canada","2489","44","10","1498.58","1648.44"
"GOOGLE_CAMP_039","2025-06-26","Google","acquisition","Mobile","iOS","Japan","1812","68","18","647.34","712.07"
"META_CAMP_022","2025-07-06","Meta","acquisition","Desktop","Desktop","UK","3231","59","7","5209.91","4949.41"
"MOLOCO_CAMP_032","2025-06-14","Moloco","retargeting","Desktop","Desktop","Germany","20000","689","179","501.92","451.73"
"GOOGLE_CAMP_011","2025-06-20","Google","acquisition","Mobile","iOS","UK","13456","280","14","2248.53","2473.38"
"AFFILIATE_CAMP_035","2025-07-04","Affiliate","acquisition","Mobile","Android","Brazil","20000","248","12","1413.73","918.92"
"MOLOCO_CAMP_012","2025-06-18","Moloco","retargeting","Mobile","Android","UK","7033","338","68","752.06","676.85"
"MOLOCO_CAMP_041","2025-06-12","Moloco","retargeting","Mobile","Android","Germany","9765","158","41","5531.26","4978.13"
"AFFILIATE_CAMP_046","2025-07-09","Affiliate","acquisition","Mobile","iOS","Japan","3267","62","3","2961.64","1925.07"
"META_CAMP_015","2025-06-26","Meta","acquisition","Mobile","iOS","UK","4674","189","30","2050.22","1947.71"
"GOOGLE_CAMP_049","2025-07-02","Google","acquisition","Mobile","Android","Brazil","1952","29","1","2253.85","2479.24"
"GOOGLE_CAMP_046","2025-07-12","Google","acquisition","Mobile","Android","Canada","1000","33","9","2048.13","2252.94"
"GOOGLE_CAMP_026","2025-07-08","Google","acquisition","Mobile","Android","Brazil","3277","107","25","1666.64","1833.3"
"TABOOLA_CAMP_046","2025-06-25","Taboola","acquisition","Desktop","Desktop","Canada","14174","391","39","1161.67","697.0"
"AFFILIATE_CAMP_045","2025-06-16","Affiliate","acquisition","Mobile","Android","India","1000","19","0","1582.01","1028.31"
"GOOGLE_CAMP_046","2025-07-11","Google","acquisition","Desktop","Desktop","Brazil","10676","86","8","5891.11","6480.22"
"AFFILIATE_CAMP_038","2025-07-05","Affiliate","acquisition","Mobile","iOS","Brazil","9625","331","65","2013.75","1308.94"
"GOOGLE_CAMP_030","2025-06-28","Google","acquisition","Mobile","iOS","Germany","15012","539","121","454.54","499.99"
"GOOGLE_CAMP_008","2025-07-11","Google","acquisition","Desktop","Desktop","Brazil","5747","251","59","1980.71","2178.78"
"MOLOCO_CAMP_014","2025-06-26","Moloco","retargeting","Mobile","Android","Germany","6642","207","51","2008.87","1807.98"
"META_CAMP_003","2025-07-04","Meta","acquisition","Mobile","iOS","Germany","2510","44","6","4868.53","4625.1"
"GOOGLE_CAMP_047","2025-06-16","Google","acquisition","Mobile","Android","Canada","5830","161","38","814.16","895.58"
"AFFILIATE_CAMP_001","2025-06-23","Affiliate","acquisition","Mobile","iOS","Canada","20000","886","248","204.39","132.85"
"META_CAMP_023","2025-07-01","Meta","acquisition","Desktop","Desktop","Canada","1000","5","0","173.45","164.78"
"GOOGLE_CAMP_049","2025-06-28","Google","acquisition","Mobile","Android","USA","5046","54","10","925.33","1017.86"
"GOOGLE_CAMP_018","2025-06-29","Google","acquisition","Mobile","iOS","Japan","20000","596","119","3284.46","3612.91"
"GOOGLE_CAMP_020","2025-06-26","Google","acquisition","Mobile","Android","UK","1000","44","4","7852.9","8638.19"
"AFFILIATE_CAMP_008","2025-06-27","Affiliate","acquisition","Desktop","Desktop","Germany","7652","56","2","3227.61","2097.95"
"MOLOCO_CAMP_027","2025-06-15","Moloco","retargeting","Mobile","Android","Japan","1000","46","2","1384.02","1245.62"
"MOLOCO_CAMP_002","2025-07-10","Moloco","retargeting","Desktop","Desktop","India","2802","107","6","81.49","73.34"
"GOOGLE_CAMP_004","2025-07-09","Google","acquisition","Mobile","iOS","Canada","4586","139","14","3493.51","3842.86"
"GOOGLE_CAMP_031","2025-06-16","Google","acquisition","Mobile","Android","UK","14543","636","12","4311.95","4743.15"
