"creative_id","campaign_id","channel","format","image_style","is_experiment","variant","language"
"CR0117","AFFILIATE_CAMP_010","Affiliate","video","food","False","","de"
"CR0118","META_CAMP_043","Meta","static","food","False","","es"
"CR0119","MOLOCO_CAMP_031","Moloco","static","food","True","C","fr"
"CR0120","GOOGLE_CAMP_018","Google","video","lifestyle","False","","de"
"CR0121","META_CAMP_014","Meta","video","food","False","","fr"
"CR0122","GOOGLE_CAMP_013","Google","video","product","False","","en"
"CR0123","META_CAMP_036","Meta","video","product","True","A","pt"
"CR0124","META_CAMP_018","Meta","static","lifestyle","False","","fr"
"CR0125","META_CAMP_001","Meta","static","lifestyle","False","","de"
"CR0126","META_CAMP_012","Meta","static","food","True","B","es"
"CR0127","TABOOLA_CAMP_013","Taboola","video","food","True","A","de"
"CR0128","MOLOCO_CAMP_029","Moloco","static","food","False","","pt"
"CR0129","GOOGLE_CAMP_001","Google","video","lifestyle","False","","en"
"CR0130","GOOGLE_CAMP_007","Google","video","product","False","","fr"
"CR0131","GOOGLE_CAMP_045","Google","video","product","False","","fr"
"CR0132","AFFILIATE_CAMP_029","Affiliate","static","lifestyle","False","","fr"
"CR0133","GOOGLE_CAMP_024","Google","static","food","False","","es"
"CR0134","META_CAMP_002","Meta","static","lifestyle","True","C","en"
"CR0135","GOOGLE_CAMP_037","Google","video","minimalist","False","","pt"
"CR0136","MOLOCO_CAMP_013","Moloco","video","product","False","","fr"
"CR0137","GOOGLE_CAMP_021","Google","carousel","lifestyle","False","","fr"
"CR0138","GOOGLE_CAMP_033","Google","video","lifestyle","False","","es"
"CR0139","GOOGLE_CAMP_037","Google","static","food","False","","fr"
"CR0140","GOOGLE_CAMP_028","Google","static","minimalist","False","","en"
"CR0141","GOOGLE_CAMP_040","Google","static","lifestyle","True","A","pt"
"CR0142","GOOGLE_CAMP_046","Google","static","minimalist","False","","pt"
"CR0143","GOOGLE_CAMP_004","Google","video","minimalist","True","A","es"
"CR0144","AFFILIATE_CAMP_046","Affiliate","video","minimalist","False","","de"
"CR0145","META_CAMP_026","Meta","video","product","False","","es"
"CR0146","TIKTOK_CAMP_016","TikTok","video","product","False","","en"
"CR0147","AFFILIATE_CAMP_050","Affiliate","static","food","False","","de"
"CR0148","GOOGLE_CAMP_031","Google","video","food","True","C","de"
"CR0149","MOLOCO_CAMP_005","Moloco","video","food","False","","fr"
"CR0150","GOOGLE_CAMP_030","Google","video","lifestyle","False","","es"
"CR0151","TABOOLA_CAMP_018","Taboola","carousel","food","False","","pt"
"CR0152","GOOGLE_CAMP_012","Google","video","food","True","A","es"
"CR0153","META_CAMP_039","Meta","video","product","False","","es"
"CR0154","TIKTOK_CAMP_036","TikTok","video","minimalist","False","","de"
"CR0155","MOLOCO_CAMP_032","Moloco","static","food","True","C","de"
"CR0156","META_CAMP_030","Meta","static","product","False","","es"
"CR0157","MOLOCO_CAMP_036","Moloco","video","food","False","","pt"
"CR0158","TIKTOK_CAMP_042","TikTok","video","product","False","","en"
"CR0159","MOLOCO_CAMP_015","Moloco","static","product","True","C","en"
"CR0160","GOOGLE_CAMP_014","Google","video","food","True","B","pt"
"CR0161","META_CAMP_028","Meta","video","lifestyle","True","B","de"
"CR0162","GOOGLE_CAMP_009","Google","carousel","lifestyle","False","","de"
"CR0163","GOOGLE_CAMP_040","Google","carousel","product","False","","de"
"CR0164","GOOGLE_CAMP_032","Google","video","minimalist","True","A","en"
"CR0165","META_CAMP_047","Meta","static","lifestyle","False","","fr"
"CR0166","TIKTOK_CAMP_050","TikTok","video","lifestyle","False","","es"
"CR0167","META_CAMP_009","Meta","static","minimalist","False","","pt"
"CR0168","GOOGLE_CAMP_013","Google","static","minimalist","True","B","es"
"CR0169","GOOGLE_CAMP_017","Google","static","minimalist","False","","en"
"CR0170","GOOGLE_CAMP_044","Google","carousel","food","True","B","es"
"CR0171","GOOGLE_CAMP_023","Google","video","food","False","","fr"
"CR0172","GOOGLE_CAMP_032","Google","carousel","product","True","B","pt"
"CR0173","AFFILIATE_CAMP_025","Affiliate","static","lifestyle","True","B","es"
"CR0174","META_CAMP_004","Meta","static","minimalist","False","","en"
"CR0175","TIKTOK_CAMP_036","TikTok","video","product","False","","de"
"CR0176","GOOGLE_CAMP_016","Google","video","food","False","","es"
"CR0177","GOOGLE_CAMP_020","Google","static","food","True","C","pt"
"CR0178","GOOGLE_CAMP_014","Google","carousel","food","False","","es"
"CR0179","META_CAMP_028","Meta","carousel","food","True","C","es"
"CR0180","TIKTOK_CAMP_001","TikTok","video","minimalist","True","A","de"
"CR0181","GOOGLE_CAMP_017","Google","static","lifestyle","True","C","pt"
"CR0182","GOOGLE_CAMP_007","Google","video","lifestyle","False","","fr"
"CR0183","TIKTOK_CAMP_007","TikTok","video","minimalist","True","A","fr"
"CR0184","META_CAMP_004","Meta","video","lifestyle","False","","de"
"CR0185","GOOGLE_CAMP_007","Google","static","product","False","","es"
"CR0186","META_CAMP_012","Meta","video","food","False","","en"
"CR0187","META_CAMP_025","Meta","video","lifestyle","False","","de"
"CR0188","MOLOCO_CAMP_038","Moloco","video","product","False","","es"
"CR0189","MOLOCO_CAMP_002","Moloco","video","minimalist","False","","es"
"CR0190","META_CAMP_025","Meta","static","minimalist","True","A","pt"
"CR0191","META_CAMP_007","Meta","carousel","lifestyle","False","","fr"
"CR0192","META_CAMP_034","Meta","video","minimalist","False","","fr"
"CR0193","META_CAMP_040","Meta","static","minimalist","False","","en"
"CR0194","AFFILIATE_CAMP_005","Affiliate","static","lifestyle","False","","fr"
"CR0195","GOOGLE_CAMP_035","Google","video","lifestyle","False","","pt"
"CR0196","GOOGLE_CAMP_016","Google","video","product","True","C","fr"
"CR0197","META_CAMP_047","Meta","static","food","True","B","es"
"CR0198","GOOGLE_CAMP_001","Google","video","minimalist","False","","pt"
"CR0199","MOLOCO_CAMP_001","Moloco","video","food","False","","pt"
